video_id,track_title,channel_name,play_count,first_event_index,last_event_index,first_relative_day,last_relative_day,in_music_library
bSe3xemu1LY,Superpowers,Daniel Caesar - Topic,5,1341,1789,482,775,True
b_ajArNJmjY,"Magnetic (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,5,702,1485,453,486,False
q_QwBJdzPT8,"Penetration (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,5,710,1767,453,775,False
yaztFAh23vs,"Hand Covers Bruise, Reprise (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,5,701,1772,453,775,False
-64qq6rThDE,Roof Cave Down,Release - Topic,4,253,1289,420,481,True
4F_vcZ6KD9Q,Lil Baby - In A Minute (Official Video),LilBabyVEVO,4,1210,1405,480,483,False
6-Sr7ZEHUZg,Sum 2 Prove,Lil Baby - Topic,4,1198,1613,480,488,False
67C6EHUxeG4,"On We March (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,4,705,1775,453,775,False
DmWWqogr_r8,21 Savage - a lot (Official Video) ft. J. Cole,21SavageVEVO,4,498,1355,437,482,False
EDj3Kgrx0Zo,jazz is for ordinary people,berlioz - Topic,4,751,1631,454,490,False
Ho6HRBPOgM0,"A Familier Taste (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,4,718,1776,453,775,False
KOIEo_74L-Q,Aria Math,Daniel Rosenfeld - Topic,4,211,1288,412,481,True
Ln-D9gsk_m4,hot house,berlioz - Topic,4,753,1632,454,490,False
NomGdaA-g0w,What You Heard,Sonder - Topic,4,1225,1660,480,491,True
O3no-kL6loY,"catching flies - satisfied (slowed + reverb, paul stretched)",drown in fog,4,228,780,420,455,False
PMk8L9FNqnY,Over My Dead Body,Drake - Topic,4,1255,1608,480,488,True
SK7V5TXhj-g,"Almost Home (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,4,714,1773,453,775,False
TJUWO1-z--8,Glokk40Spaz - Joker (dir. @PublicGoatt),GL4 Spaz,4,799,1113,456,477,False
YjJzmz653S0,F*ck U Thought,Lil Durk - Topic,4,1356,1611,482,488,False
Z39AFprNIbU,Baby,Summer Walker - Topic,4,1253,1605,480,488,True
cp1MDuIsLxk,deep dreams,Insensible - Topic,4,190,1320,412,481,False
lUKGzvQj4bI,Pound Cake / Paris Morton Music 2,Release - Topic,4,6,1297,0,481,False
mcB_TNU_apI,Freestyle,Lil Baby - Topic,4,1196,1614,480,488,False
pvU4b4N1-QU,Dear April (Side A - Acoustic),Frank Ocean - Topic,4,1220,1609,480,488,True
uAyob6tTAUM,Trinity | Oppenheimer OST,Original Soundtrack,4,474,587,437,447,False
2oE57OyhCgc,stress,2Sdxrt3all - Topic,3,987,1280,468,481,False
50GVPFj66CY,RICK ROSS - DEVIL IN A NEW DRESS,MMG,3,862,1728,457,761,False
50UKqoiqf3k,retire (final) but youre in a liminal space,rxosy music,3,318,1841,432,779,False
5dZRiqU3kdU,Yung Nigga Shit,Glokk40Spaz - Topic,3,1051,1798,475,775,False
6lBSU6I7va8,The Sound of Myself - Disasterpeace Extended Version,Erim Fortin,3,447,1291,436,481,False
6r-e3YGINuc,Dramamine (Slowed),Killswitch Memories - Topic,3,196,268,412,424,True
8RMXigC_SNU,In A Minute,Lil Baby - Topic,3,1544,1612,487,488,False
9-XbXBq8cl8,"Sing About Me, I'm Dying Of Thirst",Release - Topic,3,7,1117,0,477,True
99B63a5xPno,alpha by c418 except it's the perfect end to a decade,AquaSkye,3,259,266,420,424,False
OburOh3dM0c,Glokk40Spaz - Final Warning (Official Music Video),GL4 Spaz,3,822,1514,456,486,False
OkqOmWyb2Ac,IZ-US,Aphex Twin - Topic,3,248,1694,420,694,True
P2u4G9IccCw,tilekid - you not the same (slowed),dreamscape,3,441,1292,436,481,False
PD4F61NJm8Q,Johnny P's Caddy,Benny The Butcher - Topic,3,1547,1615,487,488,False
PP-xxI7smcI,Glokk40Spaz - Zodiac,GL4 Spaz,3,815,1418,456,483,False
RhAUL-uQTCs,tiredminds - how to never stop being sad (instrumental) [slowed + reverb],tiredminds,3,350,1803,433,775,False
RjXGral96HM,Welcome Home,Nadav Cohen - Topic,3,673,1507,452,486,False
TaXlw0OmSOg,Bromeliad,Aaron Cherof - Topic,3,189,852,412,457,False
YG3EhWlBaoI,"""2024"" prod. ojivolta, earlonthebeat, and Kanye West",Playboi Carti,3,849,1381,457,482,False
YkI-AOjFXYM,Nocturne,Trevor Kowalski - Topic,3,145,853,392,457,False
YvkHPdsjQQs,Lemon Pepper Freestyle,Drake - Topic,3,1186,1616,479,488,True
_uGvzDKgHpo,Bad Man,Glokk40Spaz - Topic,3,559,1057,442,475,True
cD8EPdn5Ctg,"In the Hall of the Mountain King (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,3,707,1752,453,774,False
doGlS0lcDZQ,Lil Tony Official - 3 AM,LilTonyVEVO,3,817,1559,456,487,False
